MUSEO,MUSEO NACIONAL DE ATROPOLOGIA ,PALACIO DE BELLAS ARTES,MUSEO FRIDA KAHLO,MUSEO SOUMAYA,MUSEO DEL TEMPLO MAYOR,MUSEO DE ARTE POPULAR ,MUSEO DE MEMORIA Y TOLERANCIA,MONUMENTO Y MUSEO DE LA REVOLUCION,MUSEO DIEGO RIVERA ANAHUACALLI ,MUSEO DOLORES OLMEDO PATINO,MUSEO MURAL DIEGO RIVERA ,MUSEO NACIONAL DE ARTE,MUSEO CASA LEON TROTSKY,MUSEO FRANZ MAYER,MUSEO DE CERA DE LA CIUDAD DE MEXICO,MUSEO NACIONAL DE HISTORIA CASTILLO DE CHAPULTEPEC,ANTIGUO COLEGIO DE SAN IDELFONSO,MUSEO DEL TIEMPO TLALPAN ,PAPALOTE MUSEO DEL NINO ,MUSEO DE ARTE MODERNO,MUSEO UNIVERSITARIO DE ARTE CONTEPORANEO,MUSEO ANTIGUO PALACION DE ITURBIDE,MUSEO CASA LUIS BARRAGAN,MUSEO CASA ESTUDIO DIEGO RIVERA,MUSEO JUMEX,MUSEO RIPLEY CIUDAD DE MEXICO,MUSEO TAMAYO,MUSEO INTERACTIVO DE ECONOMIA,MUSEO BIBLIOTECA PALACIO POSTAL ,MUSEO NACIONAL DE SAN CARLOS,POLYFORUM SIQUEIROS ,MUSEO NACIONAL DE LAS INTERVENCIONES,MUSEO DEL ESTANQUILLO ,UNIVERSUM MUSEO DE LAS CIENCIAS DE LA UNAM ,MUSEO NACIONAL DE CULTURAS POPULARES,CASA MUSEO GUILLERMO TOVAR DE TERESA,MUSEO MUCHO CHOCOLATE,PINACOTECA DE LA PROFESA,FRIDA INMERSIVA,MUSEO MEXICANO DE DISENO,MUSEO DE HISTORIA NATURAL,MUSEO DE LA TORTURA,MUSEO DE LA CIUDAD DE MEXICO,STREET ART CHILANGO,MUSEO DE EL CARMEN,MUSEO NACIONAL DE LAS CULTURAS,MUSEO DEL OBJETO DEL OBJETO,JOSE CLEMENTE OROZCO MURAL SERIES,MUSEO NACIONAL DE LA ACURELA,MUSEO DE LA BASILICA DE GUADALUPE,MUSEO DE GEOLOGIA DE LA UNAM,MUSEO NACIONAL DE LA REVOLUCION ,MUSEO DEL JUGUETE ANTIGUO,SINAGOGA HISTORICA JUSTO SIERRA,MUSEO KALUZ,ARTO OTRA,MUSEO DE ARTE CARRILLO GIL,MUSEO DEL CARCAMO DE DOLORES,MUSEO CASA DE CARRANZA,MUSEO DE ARTE SHCP ANTIGUO PALACIO DEL ARZOBISPADO,MUSEO CENTRO CULTURAL ISIDRO FABELA,UNIVERSUM MUSEO DE LAS CIENCIAS,MUSEO DEL EJERCITO Y FUERZA AEREA,MUSEO UNIVERSITARIO DEL CHOPO ,PALACIO DE LA MEDICINA ,MUSEO DEL TEQUILA Y EL MEZCAL,GALERIA HILARIO GALGUERA,YAWI ARTE TRADICIONAL,MUSEO DE SITIO DEL CLAUSTRO DE SOR JUANA,GALERIA OMR,MUSEO CASA DE LA BOLA,KOLECTIVO ART,MUSEO CASA RUTH LECHUGA ,MUSEO JOSE LUIS CUEVAS,MUSEO DE LA CARICATURA,MUSEO DE LA LUZ,MUSEO DEL AZUCAR,CASA DEL OBISPO GALERIA DE ARTE POPULAR MEXICANO,TUTANKAMON LA TUMBA EL ORO Y LA MALDICION,MUSEO TECNOLOGICO DE LA COMISION FEDERAL DE ELECTRICIDAD,CONJUNTO SAN ILDEFONSO,MUSEO NACIONAL DE LA ESTAMPA,MUSEO NUMISMATICO NACIONAL,MUSEO DEL CARACOL,MUSEO DEL AUTOMOVIL,MUSEO DE HISTORIA NATURAL,MUSEO BANCO DE MEXICO,GRUTA EHDEN  FLORIDA,PATA NEGRA,AROMAS,LA LOGGIA RISTORANTE PIZZERIA,TEIKIT,ORALE AREPA,ARDENTE PIZZERIA NAPOLETANA,ARANGO COCINA DE RAICES,SUSHI ROLL PLAZA INN,CONTRAMAR,LA OSTRA CONDESA,CAROLO,ROKAI,LOS SINALOENSES,BARRIO NORTE,IHOP WTC,LA BARRA DE FRAN,ESTIATORIO NOSTOS LOMAS DE CHAPULTEPEC,EL BAJIO,LA CHILANGUITA,LA VID ARGENTINA,PARKER AND LENOX,EL LAGO RESTAURANTE,BELLINI RETAURANTE GIRATORIO,DOLCE AMORE,AL ANDALUS,CASA PORTUGUESA,EL MAYOR RESTAURANTE,MESON DEL TOREO (GAONA),CUCHILLEROS,PUJOL,LA OPERA BAR,P.F. CHANGS,LA VICENTA TOREO,DANUBIO,CORAZON DE MAGUEY,CAFE DE TACUBA,CASA CLUB DEL ACDEMICO,CASA DE LOS AZULEJOS,EL CARDENAL LOMAS,EL CARDENAL SAN ANGEL,EL CARDENAL ALAMEDA,TEMPORAL,KOLOBOK SANTA MARIA,KOLOBOK UNIVERSIDAD,CAFE EL POPULAR,BALLARO,PANADERIA ROSETTA,MATISSE,SAKS BARRANCA,SAKS SAN ANGEL,SAKS POLANCO,LA BUENA BARRA CDMX,SALON CORONA,SYLVESTRE POLANCO,AZUL HISTORICO,AZUL CONDESA,HAVRE 77,MAXIMO BISTROT,LALO!,ZEFIRO,TERRACE AT DOWNTOWN MEXICO,BOSFORO,PASTELERIA IDEAL,FONDA GARUFA,RETAURANTE ANTIGUO SAN ANGEL INN,DULCE PATRIA EN LAS ALCOBAS,PASILLO DE HUMO,EL JAMIL,LE PAIN QUOTIDIEN,CAFETERIA EL PENDULO,CABANNA,NICOS MEXICO,CASINO ESPANOL,ROSANEGRA POLANCO,RESTAURANTE LOS ALMENDROS POLANCO,PARRILLA URBANA DIVISION DEL NORTE,SONORA GRILL MIYANA,SONORA GRILL REFORMA,SONORA GRILL NARVARTE,SONORA GRILL COAPA,MESON DEL CID,LOS DANZANTES COYOACAN,FOGON DE CHAO BRAZILIAN STEAKHOUSE,EL HIDALGUENSE,BARRIO TINTO,CIRCULO DEL SURESTE,MERIE CALLENDERS,ASIAN BISTRO,MIRALTO RESTAURANTE,BISTRO 83,CANTINA 20 SANTA FE,HACIENDA DE CORTES,PARRILLA QUILMES,THE CHEESECAKE FACTORY,EL DIEZ ROMA,LE PAIN QUOTIDIEN,RESTAURANTE LA MANSION INSURGENTES,LA STREGA,TERRAZA,SESAME,EL CONVITE,ASIAN BAY,LA SANTA GULA,RODIZIO CDMX,LA HOSTERIA DE SANTO DOMINGO,DAIKOKU RIO PANUCO,LA CASA DE LOS ABUELOS,LA CASA DE LAS SIRENAS,MILOS BISTRO,PUERTO MADERO POLANCO,TERRAZA DEL HOTEL MAJESTIC,CENTRO CASTELLANO,CAFE TORINO SANTA FE,CAFE DON POFIRIO,EL BALCON DEL ZOCALO,LOS GIRASOLES,YOSHIMI,THE CAPITAL GRILLE,PORFIRIOS POLANCO,COMEDOR JACITA,TAQUERIA LOS COYUYOS,TESTAL,ALAIA,IZACAYA KURA,LARDO,XANAT BISTRO & TERRAZA,RESTAURANTE PRENDES,DANTE BRASA Y FUEGO,TERRAZA CHA CHA CHA,LE PETIT RESTO,SANTO MAR,ALFREDO DI ROMA,FONDA FINA,AITANA,MAISON DE FAMILLE,GOTAN RESTAURANTE ARGENTINO,DON ASADO,OJO DE AGUA,LOMA LINDA PLAZA CARSO,OLIVE GARDEN,MAQUE,CONDIMENTO RESTAURANT,ALAMEDA CENTRAL,BOSQUE DE CHAPULTEPEC,CINETECA NACIONAL,PARQUE HUNDIDO,PLAZA DE SANTO DOMINGO,MONUMENTO A LOS HEROES DE LA IDEPENDENCIA,MERCADO DE COYOACAN,REFORMA 222,MONUMENTO A LOS NINOS HEROES,LAGO BOSQUE DE CHAPULTEPEC,ZOOLOGICO DE CHAPULTEPEC,PLAZA GARIBALDI,ZONA ARQUEOLOGICA TLATELOLCO,ZONA ARQUEOLOGICA DE CUICUILCO,TORRELATINOAMERICANA,PASEO DE LA REFORMA,PLAZA DE LAS TRES CULTURAS,TRAJINERAS XOCHIMILCO,BALLET FOLKLORICO DE MEXICO,PALACIO NACIONAL,MERCADO ROMA,CATEDRAL METROPOLITANA DE LA CIUDAD DE MEXICO,BIBLIOTECA VASCONCELOS,COYOACAN,ANTARA FASHION HALL,PARQUE LA MEXICANA,ARENA MEXICO,BIBLIOTECA CENTRAL DE LA UNAM,ACUARIO IMBURSA,CIUDAD UNIVERSITARIA,ZOCALO DE LA CIUDAD DE MEXICO,AUDITORIO NACIONAL,BASILICA DE LA GUADALUPE,PARQUE NACIONAL DESIERTO DE LOS LEONES,PORAY,LA LAGUNILLA,FORO SOL,OASIS COYOACAN,MERCADO DE ARTESANIAS CIUDADELA,PALACIO DE MINERIA,SIX FLAGS MEXICO
MaribelS987,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FcoPuebla,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6346IHignaciom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELPScorch,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoenricarlosm,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlincr,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iv_no432,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprulsku,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie1768,4,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,4,5,5,4,5,5,4,4,5,5,5,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juano183,,4,,,,,,5,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karinaa312,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdgbdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marisolp785,,5,5,,,,5,5,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,1,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
